amount,hour,transactions_last_24h,device_changed,location_changed,account_age_days,failed_attempts,previous_fraud_count,merchant_risk,is_new_payee,fraud
1487.3,13,5,0,0,1753,0,1,10,0,0
387.62,6,4,0,0,1045,0,1,7,0,0
2322.62,14,5,0,0,368,0,0,3,0,0
2808.95,15,2,0,0,50,0,0,4,0,0
155.86,3,4,0,0,1680,0,0,5,0,0
298.22,4,2,0,0,916,0,0,1,1,0
1246.18,6,2,0,0,2419,0,0,9,0,0
799.32,13,0,1,0,485,2,0,7,0,0
1078.36,3,1,0,0,1246,0,0,7,1,0
467.29,18,2,0,0,1358,0,0,3,0,0
2642.28,2,5,0,0,55,0,0,5,0,1
2387.0,22,3,1,0,2170,0,1,8,0,0
1171.49,16,2,1,0,765,0,0,1,0,0
3385.45,8,3,0,0,2480,1,0,9,0,0
1750.24,8,5,1,0,564,0,0,3,0,0
464.38,16,5,0,1,1377,1,0,6,0,1
1585.65,2,4,0,1,2024,0,0,7,1,1
420.36,17,1,1,0,2323,0,0,8,0,0
2639.78,13,0,0,0,370,0,0,7,0,0
1043.23,5,1,0,0,2180,0,0,5,1,1
911.54,21,2,0,0,1612,0,0,10,0,0
555.06,15,0,0,0,492,0,0,1,0,0
3723.95,3,2,1,0,1015,0,1,4,0,1
939.62,15,2,0,0,68,0,0,4,0,0
714.56,9,4,0,0,2413,0,0,8,0,0
771.14,18,0,0,0,2149,0,0,8,0,0
1867.41,11,5,1,0,597,1,0,7,0,1
1580.42,23,1,0,0,1434,1,0,2,1,0
1656.95,22,4,0,0,1513,0,0,10,0,0
1687.19,0,3,0,0,1942,0,0,4,0,0
9336.13,9,4,0,0,1147,0,0,7,0,0
730.39,4,5,0,0,1613,0,0,9,0,0
657.05,10,1,0,0,1432,0,0,10,0,0
486.01,3,3,0,0,567,0,0,6,0,0
2030.38,12,4,0,0,1935,0,0,10,0,0
3391.31,3,0,0,0,1130,0,0,1,0,0
978.53,14,4,1,0,611,1,0,7,0,0
473.35,10,1,0,0,879,0,0,7,0,0
480.83,23,3,0,0,1990,1,0,9,1,0
2101.89,21,6,0,0,1737,0,0,2,1,0
2305.96,14,5,0,0,2380,0,0,6,0,0
1887.78,10,2,0,0,141,0,0,5,0,0
563.68,17,2,1,0,1111,0,0,6,0,0
1383.21,16,1,0,1,1118,1,0,6,0,0
1232.36,3,1,1,0,1377,0,0,2,0,0
1364.7,9,1,0,0,612,0,0,5,0,0
2621.31,23,8,0,0,1521,0,0,8,0,0
1371.41,7,2,0,0,1768,0,0,1,1,0
2162.27,0,3,0,0,163,0,0,4,0,0
1173.3,20,2,1,0,1162,1,0,6,0,0
1464.28,22,5,0,0,2202,0,0,9,0,0
2061.7,15,3,1,0,1751,0,0,5,0,0
255.4,15,5,0,0,1134,0,0,8,0,0
796.58,8,3,0,0,1984,1,0,8,0,0
685.14,8,2,0,0,2114,0,0,5,0,0
578.9,21,3,0,0,1921,0,0,8,0,0
832.85,20,6,0,0,2493,0,0,8,1,1
4889.97,11,4,1,0,2309,0,0,4,0,0
461.36,7,5,1,0,452,0,0,8,0,0
2887.88,4,5,0,0,247,0,0,5,1,1
203.8,0,2,0,0,514,0,0,9,0,0
784.55,11,2,0,0,207,0,0,6,0,0
1290.46,13,2,0,0,1530,0,0,8,1,0
1970.85,16,4,0,0,582,0,0,8,0,0
2233.28,19,1,0,0,1500,1,0,3,1,0
2424.42,8,5,0,0,1136,1,0,4,1,0
773.77,4,3,1,0,657,0,0,2,1,0
690.66,20,4,0,0,1248,1,0,6,0,0
2586.28,18,5,0,0,1806,1,0,7,0,0
905.69,12,4,0,0,2240,0,0,8,0,0
306.22,0,0,0,0,1986,2,0,5,1,0
353.09,11,4,0,0,2469,0,0,5,0,0
437.27,14,5,0,0,1060,0,0,8,0,0
1802.92,20,2,1,0,846,0,0,2,0,0
1264.49,12,4,0,0,1827,1,0,10,0,0
2187.44,11,3,0,0,2375,0,0,3,0,0
715.33,9,0,0,0,303,0,1,8,1,0
1285.03,9,1,1,1,637,0,0,1,0,0
2049.99,0,2,0,0,115,1,0,3,0,1
804.85,2,1,0,0,461,0,1,8,1,0
1731.56,18,1,0,0,911,0,0,10,0,0
565.71,8,1,0,0,1728,0,0,2,0,0
762.76,20,3,1,0,1587,0,0,2,0,0
748.64,9,2,0,0,946,0,0,4,1,1
331.68,23,8,0,0,884,0,0,2,0,0
1784.64,4,1,0,0,1997,0,0,3,0,0
685.81,4,3,0,0,2039,0,0,2,0,0
1110.42,14,1,1,0,2265,0,0,1,0,0
1773.56,19,3,0,0,1399,0,0,4,0,0
1713.91,3,1,0,0,1426,0,0,9,0,0
2133.21,12,4,0,0,551,0,0,1,0,0
993.78,5,6,1,0,2179,1,0,3,0,1
718.17,17,2,1,0,2315,2,0,1,0,0
1012.61,13,4,0,1,789,1,0,1,0,0
202.89,15,4,0,0,720,0,0,4,0,0
257.98,6,3,0,0,165,0,0,7,0,0
292.16,6,3,1,0,1886,1,0,3,0,0
404.54,15,4,0,0,1371,1,0,3,0,0
1635.62,8,6,0,0,830,0,0,1,1,0
443.42,16,1,0,0,2411,1,0,2,0,0
751.32,3,4,0,0,511,1,0,3,0,0
4020.77,7,1,0,0,1546,0,1,6,0,0
767.96,2,3,0,0,264,0,0,4,1,0
2292.77,2,2,0,0,1820,1,0,8,0,0
431.12,6,3,1,0,57,0,0,5,0,0
892.98,11,4,0,0,2278,0,0,2,1,0
